[FSVAE]: epoch: 66, g_loss: 93.8995, acc: 95.7157%, nmi: 0.8991, t_acc: 95.6750%, t_nmi: 0.8985
[FSVAE]: epoch: 67, g_loss: 93.9580, acc: 95.7186%, nmi: 0.8988, t_acc: 95.6883%, t_nmi: 0.8982
[FSVAE]: epoch: 68, g_loss: 93.9122, acc: 95.7443%, nmi: 0.8986, t_acc: 95.6950%, t_nmi: 0.8978
[FSVAE]: epoch: 69, g_loss: 93.7469, acc: 95.8529%, nmi: 0.9017, t_acc: 95.8050%, t_nmi: 0.9008
[FSVAE]: epoch: 70, g_loss: 93.5912, acc: 95.7843%, nmi: 0.9005, t_acc: 95.7383%, t_nmi: 0.8999
[FSVAE]: epoch: 71, g_loss: 93.5652, acc: 95.7443%, nmi: 0.8994, t_acc: 95.6783%, t_nmi: 0.8983
[FSVAE]: epoch: 72, g_loss: 93.4734, acc: 95.7786%, nmi: 0.8999, t_acc: 95.7450%, t_nmi: 0.8993
[FSVAE]: epoch: 73, g_loss: 93.4246, acc: 95.7871%, nmi: 0.9006, t_acc: 95.7600%, t_nmi: 0.9003
[FSVAE]: epoch: 74, g_loss: 93.3826, acc: 95.9100%, nmi: 0.9033, t_acc: 95.8283%, t_nmi: 0.9018
[FSVAE]: epoch: 75, g_loss: 93.2942, acc: 96.0929%, nmi: 0.9058, t_acc: 96.0767%, t_nmi: 0.9057
[FSVAE]: epoch: 76, g_loss: 93.1621, acc: 95.7943%, nmi: 0.9001, t_acc: 95.7450%, t_nmi: 0.8992
[FSVAE]: epoch: 77, g_loss: 93.1352, acc: 95.8957%, nmi: 0.9023, t_acc: 95.8783%, t_nmi: 0.9022
[FSVAE]: epoch: 78, g_loss: 93.1243, acc: 95.8500%, nmi: 0.9014, t_acc: 95.8100%, t_nmi: 0.9007
[FSVAE]: epoch: 79, g_loss: 93.0093, acc: 95.9357%, nmi: 0.9031, t_acc: 95.9033%, t_nmi: 0.9026
